step_idx,phase,t_step_start_s,t_step_end_s,step_duration_ms,t_dataload_ms,t_forward_ms,samples_per_step,slide_id_in_step,world_size
87,steady,96.501744,97.602405,1100.661,1.750,1098.852,256,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,1
88,steady,97.614063,98.714134,1100.071,1.762,1098.256,256,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,1
89,steady,98.725823,99.824401,1098.577,1.756,1096.763,256,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,1
90,steady,99.836394,100.935281,1098.886,1.759,1097.073,256,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,1
91,steady,100.947054,102.044793,1097.740,1.751,1095.931,256,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,1
92,steady,102.056405,103.153513,1097.109,1.760,1095.289,256,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,1
93,steady,103.165583,104.263138,1097.555,1.758,1095.741,256,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,1
94,steady,104.274950,105.372535,1097.585,1.754,1095.775,256,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,1
95,steady,105.388518,106.486306,1097.788,1.747,1095.982,256,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,1
96,steady,106.498162,107.595200,1097.038,1.751,1095.230,256,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,1
97,steady,107.606748,108.703200,1096.453,1.746,1094.653,256,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,1
98,steady,108.714719,109.811325,1096.606,1.751,1094.798,256,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,1
99,steady,109.822876,110.918419,1095.542,1.753,1093.730,256,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,1
100,steady,110.929800,112.026653,1096.854,1.757,1095.038,256,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,1
101,steady,112.038785,113.137578,1098.793,1.761,1096.972,256,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,1
102,steady,113.149597,114.248152,1098.555,1.758,1096.740,256,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,1
103,steady,114.259984,115.355171,1095.187,1.761,1093.366,256,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,1
104,steady,115.366955,116.463236,1096.281,1.761,1094.457,256,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,1
105,steady,116.475052,117.572249,1097.197,1.750,1095.389,256,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,1
106,steady,117.584091,118.679912,1095.821,1.756,1094.006,256,TCGA-A2-A0ER-01Z-00-DX1.18123C1B-A0CC-4957-9373-5FFAB985C2E8,1
